source_url,release_date,page,row,bank,representative,item,currency,amount,company
https://cbl.gov.ly/wp-content/uploads/2021/05/6-19May2021.pdf,2021-05-20,1,1,مصرف األمان - الرئيس ي,عصام عمرو عياد الغالى,تالجات وفريزات وغسال,EUR,4096420,شركة أمجاد الساحل إلستيراد األجهزة واملواد الكهربائية والغير كهربائية وقطع غ
https://cbl.gov.ly/wp-content/uploads/2021/05/6-19May2021.pdf,2021-05-20,1,2,مصر ف ا ألمان - الرئيس ي,على صالح الفيتوري جويده,سجائر,USD,2700000,شركة الوطنية إلستيراد التبغ
https://cbl.gov.ly/wp-content/uploads/2021/05/6-19May2021.pdf,2021-05-20,1,3,مصرف األمان - الرئيس ي,عزالدين صالح الفيتوري جويدة,سجائر,USD,1800000,شركة املتحدة الجديدة إلستيراد التبغ والسجائر ومستلزماتها
https://cbl.gov.ly/wp-content/uploads/2021/05/6-19May2021.pdf,2021-05-20,1,4,مصرف األمان - الرئيس ي,حسا م ن صر الدين سالم الشاملى,تالجات,USD,753572,شركة املثالى الحديث الستيراد االجهزة واملواد الكهربائية وغير الكهربائية
https://cbl.gov.ly/wp-content/uploads/2021/05/6-19May2021.pdf,2021-05-20,1,5,مصرف األمان - الرئيس ي,سبتيموس شعبان صالح ابوسعود,اثاث,USD,52397,شركة سبتيموس وشركاؤه الستيراد االثاث
https://cbl.gov.ly/wp-content/uploads/2021/05/6-19May2021.pdf,2021-05-20,1,6,مصرف األمان - الرئيس ي,نبيل املهدي منصور االحول,مواد خام بي في س ي,USD,1003821,شركة البصمة الذهبية لصناعة االملونيوم والبي في س ي
https://cbl.gov.ly/wp-content/uploads/2021/05/6-19May2021.pdf,2021-05-20,1,7,مصرف األمان - الرئيس ي,محمد بلعيد األجهر اشتيوي,سيارات,USD,268163.53,شركة الوكيل إلستيراد اآلالت واملعدات الثقيلة ومستلزماتها وقطع غيارها ومعدات
https://cbl.gov.ly/wp-content/uploads/2021/05/6-19May2021.pdf,2021-05-20,1,8,مصرف األمان - الرئيس ي,صال ح م سعود محمد مسعود,حفاظات أطفال,USD,1250000,شركة العربان إلستيراد مستلزمات إالم والطفل
https://cbl.gov.ly/wp-content/uploads/2021/05/6-19May2021.pdf,2021-05-20,1,9,مصرف األمان - الرئيس ي,محمد بلعيد األجهر اشتيوي,قطع غيار,USD,17461.34,شركة الوكيل إلستيراد اآلالت واملعدات الثقيلة ومستلزماتها وقطع غيارها ومعدات
https://cbl.gov.ly/wp-content/uploads/2021/05/6-19May2021.pdf,2021-05-20,1,10,مصرف األمان - الرئيس ي,نبيل املهدي منصور االحول,مواد خام بي في س ي,USD,1500914,شركة البصمة ال ذهبية لصناعة االملونيوم والبي في س ي
https://cbl.gov.ly/wp-content/uploads/2021/05/6-19May2021.pdf,2021-05-20,1,11,مصرف الجمهورية - وكالة بحوت الطاقه,عبدهللا خليل إمحمد البرقلي,مواد تحاليل,EUR,142400,شركة املينا الستيراد املعدات واملستلزمات الطبية
https://cbl.gov.ly/wp-content/uploads/2021/05/6-19May2021.pdf,2021-05-20,1,12,مصرف الجمهورية - امليدان,أندريو كيرياكوس,مواد خام,EUR,2511960,شركة افريقيا لتعبئة املشروبات
https://cbl.gov.ly/wp-content/uploads/2021/05/6-19May2021.pdf,2021-05-20,1,13,مصرف الجمهورية - وكالة بوعطني,زهره محمد عبد القادر على,مضافات اعالف,EUR,4466000,شركة نهضة ليبيا لالستثمار الزراعي والحيواني
