source_url,release_date,page,row,bank,representative,item,currency,amount,company
https://cbl.gov.ly/wp-content/uploads/2021/04/1-7april2021.pdf,2021-04-10,1,1,مصرف الجمهورية - امليدان,أندريو كيرياكوس,مواد خام,EUR,2250730,شركة افريقيا لتعبئة املشروبات
https://cbl.gov.ly/wp-content/uploads/2021/04/1-7april2021.pdf,2021-04-10,1,2,مصرف الصحاري - وكالة قوز زناته,هيثم امحمد عمر عمر,اكياس نفايات,EUR,56400,شركة العود الطيب الستيراد مواد الزينة و ا لخردوات و مواد التنطيف
https://cbl.gov.ly/wp-content/uploads/2021/04/1-7april2021.pdf,2021-04-10,1,3,مصرف املتحد - الفرع الرئيس ي,رمضان سالم علي أبوسنينة,شكوالطة,USD,610321.38,شركة الرماح الستيراد املواد الغذائية املساهمة
https://cbl.gov.ly/wp-content/uploads/2021/04/1-7april2021.pdf,2021-04-10,1,4,املصرف االسالمي الليبي ـ أبو مليانة,محمد منصور علي أبو خضير,مواد خام,USD,164060,شركة املنصور لصناعة حفاظات اال طفال
https://cbl.gov.ly/wp-content/uploads/2021/04/1-7april2021.pdf,2021-04-10,1,5,مصرف السراي - الفرع الرئيس ي,عثمان حسن عبدالحفيظ حسن,أدوية,EUR,506370,شركة إكليل إلستيراد األدوية واملعدات الطبية
https://cbl.gov.ly/wp-content/uploads/2021/04/1-7april2021.pdf,2021-04-10,1,6,مصرف السراي - الفرع الرئيس ي,محمد عبدالجليل إبراهيم سلطان,PET خام مواد,USD,238500,شركة السلطان للصناعات البالستكية
https://cbl.gov.ly/wp-content/uploads/2021/04/1-7april2021.pdf,2021-04-10,1,7,مصرف الخليج الليبي االول,سعيد ابراهيم سعيد كرناص,قطع غيار مولدات,USD,148448.06,شركة ليبيا الحرة الستيراد املولدات واالالت واملعدات الكهربائية وقطع غيرها
https://cbl.gov.ly/wp-content/uploads/2021/04/1-7april2021.pdf,2021-04-10,1,8,مصرف الجمهورية - ابي االشهر,عادل فوزي محمد الصغير ابوسديرة,دجاج مجمد,USD,2737348.5,شركة ارم طرابلس الستيراد ا ملواد الغذائية واملواش ي واللحوم
https://cbl.gov.ly/wp-content/uploads/2021/04/1-7april2021.pdf,2021-04-10,1,9,مصرف املتحد - الفرع الرئيس ي,سالم امحمد علي اعنيبة,مواد خام,USD,1917300,شركة انابيب مصراتة لصناعة االنابيب البالستكية
https://cbl.gov.ly/wp-content/uploads/2021/04/1-7april2021.pdf,2021-04-10,1,10,مصرف املتحد - الفرع الرئيس ي,سالم امحمد علي عنيبة,مضخات زراعية,USD,832340,شركةسهل ال فضيل ابوعمر الستيراد املعدات الزراعية
https://cbl.gov.ly/wp-content/uploads/2021/04/1-7april2021.pdf,2021-04-10,1,11,مصرف الخليج الليبي االول,الصديق مفتاح سليمان سبس ي,فورمايكا,EUR,140560.47,شركة القلعة لصناعة االلومنيوم
https://cbl.gov.ly/wp-content/uploads/2021/04/1-7april2021.pdf,2021-04-10,1,12,مصرف الخليج الليبي االول,مالك أحمد عمر أبوشعالة,نضائد,USD,290575.26,شركه الجدار إلستيراد السيارات و قطع غيارها
https://cbl.gov.ly/wp-content/uploads/2021/04/1-7april2021.pdf,2021-04-10,1,13,مصرف الخليج الليبي االول,خليل محمد الصديق الرايس,اطارات,USD,397382.7,شركة املسار الجديد الستيراد وسائل النقل وملحقاتها
https://cbl.gov.ly/wp-content/uploads/2021/04/1-7april2021.pdf,2021-04-10,1,14,مصرف الخليج الليبي االول,صالح عمير محمد طيطش,مواد خام,EUR,60000,شركة الهرم لصناعة الطالء والعبوات البالستيكية
https://cbl.gov.ly/wp-content/uploads/2021/04/1-7april2021.pdf,2021-04-10,1,15,مصرف الخليج الليبي االول,صالح عمير محمد طيطش,مواد خام,USD,148000,شركة الهرم لصناعة الطالء والعبوات البالستيكية
https://cbl.gov.ly/wp-content/uploads/2021/04/1-7april2021.pdf,2021-04-10,1,16,مصرف الخليج االول الليبي,بشير حاجي بشير العكا ري,جبنة,USD,446188.13999999996,شركة التسنيم الستيراد املواد الغذائية
https://cbl.gov.ly/wp-content/uploads/2021/04/1-7april2021.pdf,2021-04-10,1,17,مصرف الخليج االول الليبي,الزناتي ضو منصور ضو,اكياس تعبئة,USD,658490,شركة وادى بى لصناعة االعالف واملستلزمات الزراعية
https://cbl.gov.ly/wp-content/uploads/2021/04/1-7april2021.pdf,2021-04-10,1,18,مصرف الخليج االول الليبي,عبدالفتاح سالم ابوشنب التركى,ارز,USD,49518,شركة عرار وشركائه إلستيراد املواد الغذائية
https://cbl.gov.ly/wp-content/uploads/2021/04/1-7april2021.pdf,2021-04-10,1,19,مصرف الخليج الليبي االول,نجاح عبدهللا محمد شلغوم,ادوية,USD,350001.4,شركة الصيادلة إلستيراد االدوية واملعدات الطبية
https://cbl.gov.ly/wp-content/uploads/2021/04/1-7april2021.pdf,2021-04-10,1,20,مصرف الخليج الليبي االول,نجاح عبدهللا محمد شلغوم,ادوية,USD,179240,شركة الصيادلة إلستيراد االدوية واملعدات الطبية
https://cbl.gov.ly/wp-content/uploads/2021/04/1-7april2021.pdf,2021-04-10,2,1,مصرف الخليج الليبي االول,نجاح عبدهللا محمد شلغوم,ادوية,USD,49104,شركة ا لصيادلة إلستيراد االدوية واملعدات الطبية
https://cbl.gov.ly/wp-content/uploads/2021/04/1-7april2021.pdf,2021-04-10,2,2,مصرف املتحد لتجارة واالستثمار ـ فرع طرابلس,محمد عمر محمد املطاوع,اجهزة هواتف,USD,300190,شركة تواصل ليبيا الستيراد االلكترونيات املساهمة
https://cbl.gov.ly/wp-content/uploads/2021/04/1-7april2021.pdf,2021-04-10,2,3,مصرف املتحد - وكالة الكريمية,علي رمضان علي منصور,زيتون,USD,495050,ش ركة االطايب الستيراد املواد الغدائية
https://cbl.gov.ly/wp-content/uploads/2021/04/1-7april2021.pdf,2021-04-10,2,4,مصرف السراي - الفرع الرئيس ي,جالل ابراهيم حسني,محطة دفع للمتنقلة,USD,170000,شركة التداول للوساطة املالية واإللكترونية املساهمة
https://cbl.gov.ly/wp-content/uploads/2021/04/1-7april2021.pdf,2021-04-10,2,5,مصرف الجمهورية - ابي االشهر,صالح ميالد علي العماري,سكر,USD,1800000,شركة التراب الليبي االستيراد املواد الغدائيه واملواش ي
https://cbl.gov.ly/wp-content/uploads/2021/04/1-7april2021.pdf,2021-04-10,2,6,مصرف الواحة - الو احة الرئيس ي,عائشه محمد امحمد اسويري,SANDWICHS الواح,USD,274500,شركة الجبل االبيض الستيراد مواد البناء و املواد الصحية و ملحقاتها
https://cbl.gov.ly/wp-content/uploads/2021/04/1-7april2021.pdf,2021-04-10,2,7,مصرف السراي - الفرع الرئيس ي,حسين بلعيد مفتاح احسونة,ادويه,USD,56808.53,شركة تاج ليبيا الستيراد االدوية
https://cbl.gov.ly/wp-content/uploads/2021/04/1-7april2021.pdf,2021-04-10,2,8,مصرف املتحد - وكالة الكريمية,سيد علي عبدالغني علي,شكالطة,USD,128666,شركة الحقول الستيراد املواد الغذائية
https://cbl.gov.ly/wp-content/uploads/2021/04/1-7april2021.pdf,2021-04-10,2,9,مصرف املتحد - وكالة الكريمية,سيد علي عبدالغني علي,كورن فلكس,EUR,32845.350000000006,شركة الستيراد امل واد الغذائية الحقول
https://cbl.gov.ly/wp-content/uploads/2021/04/1-7april2021.pdf,2021-04-10,2,10,مصرف املتحد لتجارة واالستثمار ـ فرع طرابلس,صالح احمد سالم سليمان,ادوية جلدية,EUR,71016.81,شركة مطلع الفجر الستيراد االدوية واملعدات الطبية
